Original,Closest Match,Similarity Ratio
The Elder Scrolls V Skyrim,The Elder Scrolls V: Skyrim,0.98
Spore,Stoire,0.73
Fallout New Vegas,Fallout: New Vegas,0.97
Dead Island Epidemic,Heaven Island Life,0.63
Dragon Age Origins   Ultimate Edition,Dragon Age: Origins - Ultimate Edition,0.96
Fallout 3   Game of the Year Edition,Fallout 3: Game of the Year Edition,0.96
SEGA Genesis   Mega Drive Classics,,0.0
Marvel Heroes 2015,LEGO® Marvel Super Heroes 2,0.67
BioShock,AirShock,0.75
Jazzpunk,,0.0
BioShock 2,Block Shock,0.67
Fallen Earth,Idle Earth,0.73
Fallout New Vegas Courier s Stash,Fallout: New Vegas,0.67
Fallout New Vegas Dead Money,Fallout: New Vegas,0.74
Fallout New Vegas Honest Hearts,Fallout: New Vegas,0.69
Grand Theft Auto Episodes from Liberty City,Grand Theft Auto: Episodes from Liberty City,0.99
Hitman Absolution,Hitman: Absolution™,0.94
HuniePop Official Digital Art Collection,,0.0
HuniePop Original Soundtrack,,0.0
The Banner Saga   Mod Content,The Banner Saga 3,0.7
The Elder Scrolls V Skyrim   Dawnguard,The Elder Scrolls V: Skyrim,0.8
The Elder Scrolls V Skyrim   Dragonborn,The Elder Scrolls V: Skyrim,0.79
The Elder Scrolls V Skyrim   Hearthfire,The Elder Scrolls V: Skyrim,0.79
Ultra Street Fighter IV,Ultra Street Fighter® IV,0.98
FINAL FANTASY XIII,FINAL FANTASY® XIII,0.97
Sid Meier s Civilization V,Sid Meier's Civilization® V,0.94
Company of Heroes Tales of Valor,Company of Heroes: Tales of Valor,0.98
Counter Strike Global Offensive,Counter-Strike: Global Offensive,0.95
Assassin s Creed II,Assassin’s Creed® Rogue,0.76
Company of Heroes Opposing Fronts,Company of Heroes: Opposing Fronts,0.99
Company of Heroes  New Steam Version ,Company of Heroes - Legacy Edition,0.7
Killing Floor Mod Defence Alliance 2,Killing Floor: Incursion,0.6
Magicka Vietnam,Magicka 2,0.67
Psychonauts Demo,Psychonauts,0.81
Serious Sam 3 BFE,Serious Sam 3: BFE,0.97
Skullgirls Endless Beta,Skullgirls,0.61
Skyrim High Resolution Texture Pack,,0.0
METAL GEAR SOLID V THE PHANTOM PAIN,METAL GEAR SOLID V: THE PHANTOM PAIN,0.99
S T A L K E R  Shadow of Chernobyl,S.T.A.L.K.E.R.: Shadow of Chernobyl,0.78
S T A L K E R  Call of Pripyat,S.T.A.L.K.E.R.: Call of Pripyat,0.75
Saints Row The Third,Saints Row: The Third,0.98
S T A L K E R  Clear Sky,S.T.A.L.K.E.R.: Clear Sky,0.69
Rocket League,Rocket League®,0.96
Far Cry 4,Far Cry® 4,0.95
Prototype,Prototype™,0.95
Mirror s Edge,Mirror's Edge™,0.89
Deus Ex Human Revolution,Deus Ex: Human Revolution - Director's Cut,0.73
Middle earth Shadow of Mordor,Middle-earth™: Shadow of War™,0.79
Deus Ex Human Revolution   Director s Cut,Deus Ex: Human Revolution - Director's Cut,0.94
Batman Arkham City GOTY,Batman™: Arkham Knight,0.71
Dust An Elysian Tail,Dust: An Elysian Tail,0.98
South Park The Stick of Truth,South Park™: The Stick of Truth™,0.95
Sleeping Dogs,Sleeping Dawn,0.77
Watch Dogs,Watch_Dogs™,0.86
Sid Meier s Civilization III Complete,Sid Meier's Civilization® III Complete,0.96
DiRT 3,DiRT 4,0.83
FTL Faster Than Light,FTL: Faster Than Light,0.98
Age of Empires II HD Edition,Age of Empires II HD,0.83
Batman Arkham Asylum GOTY Edition,Batman: Arkham Asylum Game of the Year Edition,0.78
Rebuild 3 Gangs of Deadsville,Rebuild 3: Gangs of Deadsville,0.98
Recettear An Item Shop s Tale,Recettear: An Item Shop's Tale,0.95
Metro 2033,Metro 2033 Redux,0.77
Monaco,Mono,0.8
Assassin s Creed III,Assassin’s Creed® Rogue,0.74
Ori and the Blind Forest,Ori and the Blind Forest: Definitive Edition,0.71
Far Cry 3 Blood Dragon,Far Cry 3 - Blood Dragon,0.96
Burnout Paradise The Ultimate Box,Burnout Paradise: The Ultimate Box,0.99
PROTOTYPE 2,,0.0
Plague Inc Evolved,Plague Inc: Evolved,0.97
Next Car Game Wreckfest,,0.0
Half Life 2 Episode Two,Half-Life 2: Episode Two,0.94
Rise of Nations Extended Edition,Rise of Nations: Extended Edition,0.98
Spec Ops The Line,Spec Ops: The Line,0.97
Half Life 2 Episode One,Half-Life 2: Episode One,0.94
Wolfenstein The New Order,Wolfenstein: The New Order,0.98
Metro Last Light,Metro: Last Light Redux,0.82
F E A R  2 Project Origin,F.E.A.R. 2: Project Origin,0.82
LEGO The Lord of the Rings,The Lord of the Rings Online™,0.76
METAL GEAR RISING REVENGEANCE,METAL GEAR RISING: REVENGEANCE,0.98
Arma 2 Operation Arrowhead,Arma 2: Operation Arrowhead,0.98
METAL GEAR SOLID V GROUND ZEROES,METAL GEAR SOLID V: GROUND ZEROES,0.98
DiRT Showdown,Epic Showdown,0.77
Sonic Adventure 2 ,Sonic Adventure 2,0.97
Battlestations Midway,Battlestations: Midway,0.98
Sunless Sea,Sinless + OST,0.67
Mark of the Ninja,Call of the Ninja!,0.8
Creeper World 3 Arc Eternal,Creeper World 3: Arc Eternal,0.98
Turbo Dismount,Turbo Dismount™,0.97
Delver,Delve,0.91
The Legend of Heroes Trails in the Sky,The Legend of Heroes: Trails in the Sky,0.99
Trine,Trino,0.8
Next Car Game Sneak Peek 2 0,,0.0
Far Cry 2,Far Cry 3,0.89
KHOLAT,KOTH,0.4
Secrets of Rtikon,Secrets of Rætikon,0.97
Unepic,UnEpic,0.83
The Legend of Korra,The Legend of Bean,0.81
Dark Souls Prepare to Die Edition,,0.0
Half Life 2 Lost Coast,Half-Life 2: Lost Coast,0.93
Galcon Legends,GT Legends,0.75
Cat Goes Fishing,Crazy Fishing,0.69
Mind Path to Thalamus Enhanced Edition,MIND: Path to Thalamus Enhanced Edition,0.91
Amnesia The Dark Descent,Amnesia: The Dark Descent,0.98
Lone Survivor The Director s Cut,Lone Survivor: The Director's Cut,0.95
Spintires,Sprinter,0.71
Dead Island,Candy Island,0.78
Superbrothers Sword   Sworcery EP,Superbrothers: Sword & Sworcery EP,0.96
Sonic   All Stars Racing Transformed,Sonic & SEGA All-Stars Racing,0.71
Call of Juarez Gunslinger,Call of Juarez™,0.7
Crysis 2 Maximum Edition,Crysis 2 - Maximum Edition,0.96
Lego Harry Potter,LEGO® Harry Potter: Years 5-7,0.61
WRC 4 FIA WORLD RALLY CHAMPIONSHIP,,0.0
Valkyria Chronicles,Valkyria Chronicles™,0.97
Spelunky,Spelunker Party!,0.67
Astebreed,Astroe,0.53
STAR WARS Knights of the Old Republic II The Sith Lords,STAR WARS™ Knights of the Old Republic™ II - The Sith Lords™,0.96
Phantom Breaker Battle Grounds,Phantom Breaker: Battle Grounds,0.98
Tom Clancy s Splinter Cell Chaos Theory,Tom Clancy's Splinter Cell Chaos Theory®,0.96
The Witcher Enhanced Edition,The Wizards - Enhanced Edition,0.83
BattleBlock Theater,BattleBlock Theater®,0.97
Need for Speed Hot Pursuit,Need For Speed: Hot Pursuit,0.94
Coin Crypt,Iron Crypticle,0.67
The Crew,The Crew™,0.94
Metro Last Light Redux,Metro: Last Light Redux,0.98
Crimzon Clover  WORLD IGNITION,Crimzon Clover WORLD IGNITION,0.98
Sonic Generations,Hero Generations,0.79
Ethan Meteor Hunter,Ethan: Meteor Hunter,0.97
Super Meat Boy,Super Mega Bob,0.86
Dustforce,Bustories,0.67
Call of Duty Modern Warfare 2   Multiplayer,Call of Duty®: Modern Warfare® 2,0.77
PixelJunk Shooter,PixelJunk™ Shooter,0.97
Arma 2 British Armed Forces,,0.0
Battlefield Bad Company 2,Battlefield: Bad Company™ 2,0.96
Cogs,Logos,0.67
Assassin s Creed IV Black Flag,Assassin’s Creed® IV Black Flag™,0.94
SimCity 4 Deluxe,SimCity™ 4 Deluxe Edition,0.78
Half Life Deathmatch Source,Half-Life Deathmatch: Source,0.95
Arma 2 DayZ Mod,,0.0
Call of Duty Modern Warfare 2,Call of Duty®: Modern Warfare® 2,0.95
Age of Empires II HD The Forgotten,Age of Empires II HD,0.74
Age of Empires III Complete Collection,Age of Empires® III: Complete Collection,0.97
Age of Mythology Extended Edition,Age of Mythology: Extended Edition,0.99
Alice Madness Returns,Alien Run,0.6
Alien Isolation,Alien: Isolation,0.97
America s Army Proving Grounds,America's Army: Proving Grounds,0.95
Amnesia A Machine for Pigs,Amnesia: A Machine for Pigs,0.98
Anachronox,Achron,0.75
App Game Kit,A Game About,0.67
Arma 2 Operation Arrowhead Beta  Obsolete ,Arma 2: Operation Arrowhead,0.75
Arma 2 Private Military Company,,0.0
Audiosurf,Audiosurf 2,0.9
Aveyond 3 1 Lord of Twilight,Aveyond 3-1: Lord of Twilight,0.95
Awesomenauts,Bombernauts,0.7
Axis Game Factory s AGFPRO   Drone Kombat FPS Multi Player DLC,,0.0
Axis Game Factory s AGFPRO   Zombie Survival Pack DLC,Axis Game Factory's AGFPRO v3,0.66
Axis Game Factory s AGFPRO 3 0,Axis Game Factory's AGFPRO v3,0.92
Ballpoint Universe Infinite,Ballpoint Universe - Infinite,0.96
Beatbuddy Tale of the Guardians,Beatbuddy: Tale of the Guardians,0.98
BlazBlue Calamity Trigger,BlazBlue: Calamity Trigger,0.98
BlazBlue Continuum Shift Extend,BlazBlue: Continuum Shift Extend,0.98
Borderlands,Borderlands 2,0.92
Borderlands DLC Claptraps New Robot Revolution,,0.0
Borderlands DLC Mad Moxxi s Underdome Riot,,0.0
Borderlands DLC The Secret Armory of General Knoxx,,0.0
Borderlands DLC The Zombie Island of Dr  Ned,,0.0
Breath of Death VII ,Breath of Death VII,0.97
Bulletstorm,Blockstorm,0.67
Castle Crashers,Castle Crashers®,0.97
Cities Skylines,Cities: Skylines,0.97
Command and Conquer 3 Kane s Wrath,Command & Conquer 3: Kane's Wrath,0.9
Command and Conquer 3 Tiberium Wars,Command & Conquer 3: Tiberium Wars,0.93
