filtered_playerGame,filtered_gameMatch,similarityRatio
THEELDERSCROLLSVSKYRIM,THEELDERSCROLLSVSKYRIM,1.0
SPORE,SPORE,1.0
FALLOUTNEWVEGAS,FALLOUTNEWVEGAS,1.0
DEADISLANDEPIDEMIC,RABIEZEPIDEMIC,0.56
DRAGONAGEORIGINSULTIMATEEDITION,DRAGONAGEORIGINSULTIMATEEDITION,1.0
FALLOUT3GAMEOFTHEYEAREDITION,FALLOUT3GAMEOFTHEYEAREDITION,1.0
SEGAGENESISMEGADRIVECLASSICS,,0.0
MARVELHEROES2015,LEGOMARVELSUPERHEROES2,0.68
BIOSHOCK,BLOCKSHOCK,0.78
JAZZPUNK,EXAPUNKS,0.62
BIOSHOCK2,BLOCKSHOCK,0.74
FALLENEARTH,LITTLEEARTH,0.73
FALLOUTNEWVEGASCOURIERSSTASH,FALLOUTNEWVEGAS,0.7
FALLOUTNEWVEGASDEADMONEY,FALLOUTNEWVEGAS,0.77
FALLOUTNEWVEGASHONESTHEARTS,FALLOUTNEWVEGAS,0.71
GRANDTHEFTAUTOEPISODESFROMLIBERTYCITY,GRANDTHEFTAUTOEPISODESFROMLIBERTYCITY,1.0
HITMANABSOLUTION,HITMANABSOLUTION,1.0
HUNIEPOPOFFICIALDIGITALARTCOLLECTION,SHOGUNTOTALWARCOLLECTION,0.63
HUNIEPOPORIGINALSOUNDTRACK,,0.0
THEBANNERSAGAMODCONTENT,THEBANNERSAGAFACTIONS,0.73
THEELDERSCROLLSVSKYRIMDAWNGUARD,THEELDERSCROLLSVSKYRIMVR,0.84
THEELDERSCROLLSVSKYRIMDRAGONBORN,THEELDERSCROLLSVSKYRIMVR,0.82
THEELDERSCROLLSVSKYRIMHEARTHFIRE,THEELDERSCROLLSVSKYRIMVR,0.82
ULTRASTREETFIGHTERIV,ULTRASTREETFIGHTERIV,1.0
FINALFANTASYXIII,FINALFANTASYXIII,1.0
SIDMEIERSCIVILIZATIONV,SIDMEIERSCIVILIZATIONV,1.0
COMPANYOFHEROESTALESOFVALOR,COMPANYOFHEROESTALESOFVALOR,1.0
COUNTERSTRIKEGLOBALOFFENSIVE,COUNTERSTRIKEGLOBALOFFENSIVE,1.0
ASSASSINSCREEDII,ASSASSINSCREEDORIGINS,0.86
COMPANYOFHEROESOPPOSINGFRONTS,COMPANYOFHEROESOPPOSINGFRONTS,1.0
COMPANYOFHEROESNEWSTEAMVERSION,COMPANYOFHEROESLEGACYEDITION,0.69
KILLINGFLOORMODDEFENCEALLIANCE2,KILLINGFLOORINCURSION,0.62
MAGICKAVIETNAM,MAGICTAVERN,0.72
PSYCHONAUTSDEMO,PSYCHONAUTS,0.85
SERIOUSSAM3BFE,SERIOUSSAM3BFE,1.0
SKULLGIRLSENDLESSBETA,SKULLGIRLS,0.65
SKYRIMHIGHRESOLUTIONTEXTUREPACK,,0.0
METALGEARSOLIDVTHEPHANTOMPAIN,METALGEARSOLIDVTHEPHANTOMPAIN,1.0
STALKERSHADOWOFCHERNOBYL,STALKERSHADOWOFCHERNOBYL,1.0
STALKERCALLOFPRIPYAT,STALKERCALLOFPRIPYAT,1.0
SAINTSROWTHETHIRD,SAINTSROWTHETHIRD,1.0
STALKERCLEARSKY,STALKERCLEARSKY,1.0
ROCKETLEAGUE,ROCKETLEAGUE,1.0
FARCRY4,FARCRY4,1.0
PROTOTYPE,PROTOTYPE,1.0
MIRRORSEDGE,MIRRORSEDGE,1.0
DEUSEXHUMANREVOLUTION,DEUSEXHUMANREVOLUTIONDIRECTORSCUT,0.78
MIDDLEEARTHSHADOWOFMORDOR,MIDDLEEARTHSHADOWOFWAR,0.85
DEUSEXHUMANREVOLUTIONDIRECTORSCUT,DEUSEXHUMANREVOLUTIONDIRECTORSCUT,1.0
BATMANARKHAMCITYGOTY,BATMANARKHAMKNIGHT,0.74
DUSTANELYSIANTAIL,DUSTANELYSIANTAIL,1.0
SOUTHPARKTHESTICKOFTRUTH,SOUTHPARKTHESTICKOFTRUTH,1.0
SLEEPINGDOGS,SLEEPINGDAWN,0.75
WATCHDOGS,WATCHDOGS,1.0
SIDMEIERSCIVILIZATIONIIICOMPLETE,SIDMEIERSCIVILIZATIONIIICOMPLETE,1.0
DIRT3,DIRT4,0.8
FTLFASTERTHANLIGHT,FTLFASTERTHANLIGHT,1.0
AGEOFEMPIRESIIHDEDITION,AGEOFEMPIRESIIHD,0.82
BATMANARKHAMASYLUMGOTYEDITION,BATMANARKHAMASYLUMGAMEOFTHEYEAREDITION,0.87
REBUILD3GANGSOFDEADSVILLE,REBUILD3GANGSOFDEADSVILLE,1.0
RECETTEARANITEMSHOPSTALE,RECETTEARANITEMSHOPSTALE,1.0
METRO2033,METRO2033REDUX,0.78
MONACO,MONO,0.8
ASSASSINSCREEDIII,ASSASSINSCREEDORIGINS,0.84
ORIANDTHEBLINDFOREST,ORIANDTHEBLINDFORESTDEFINITIVEEDITION,0.7
FARCRY3BLOODDRAGON,FARCRY3BLOODDRAGON,1.0
BURNOUTPARADISETHEULTIMATEBOX,BURNOUTPARADISETHEULTIMATEBOX,1.0
PROTOTYPE2,PROTOTYPE2,1.0
PLAGUEINCEVOLVED,PLAGUEINCEVOLVED,1.0
NEXTCARGAMEWRECKFEST,WRECKFEST,0.62
HALFLIFE2EPISODETWO,HALFLIFE2EPISODETWO,1.0
RISEOFNATIONSEXTENDEDEDITION,RISEOFNATIONSEXTENDEDEDITION,1.0
SPECOPSTHELINE,SPECOPSTHELINE,1.0
HALFLIFE2EPISODEONE,HALFLIFE2EPISODEONE,1.0
WOLFENSTEINTHENEWORDER,WOLFENSTEINTHENEWORDER,1.0
